"tipo","max.frec"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","c"
"C","g"
"C","a"
"C","t"
"C","t"
"C","c"
"C","c"
"C","g"
"C","g"
"C","g"
"C","a"
"C","g"
"C","c"
"C","c"
"C","g"
"C","g"
"C","g"
"C","c"
"C","a"
"C","g"
"C","g"
"C","c"
"C","g"
"C","c"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","c"
"C","c"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","t"
"C","a"
"C","t"
"C","a"
"C","g"
"C","g"
"C","c"
"C","c"
"C","g"
"C","g"
"C","t"
"C","a"
"C","g"
"C","t"
"C","g"
"C","c"
"C","c"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","c"
"C","c"
"C","t"
"C","a"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","a"
"C","g"
"C","g"
"C","g"
"C","g"
"C","a"
"C","c"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","t"
"C","a"
"C","t"
"C","g"
"C","g"
"C","t"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","t"
"C","t"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","t"
"C","g"
"C","t"
"C","c"
"C","g"
"C","t"
"C","t"
"C","c"
"C","t"
"C","g"
"C","c"
"C","g"
"C","t"
"C","g"
"C","c"
"C","t"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","c"
"C","c"
"C","t"
"C","g"
"C","c"
"C","g"
"C","c"
"C","g"
"C","c"
"C","t"
"C","g"
"C","g"
"C","g"
"C","c"
"C","a"
"C","c"
"C","a"
"C","c"
"C","t"
"C","g"
"C","c"
"C","g"
"C","t"
"C","t"
"C","g"
"C","c"
"C","c"
"C","t"
"C","t"
"C","g"
"C","g"
"C","g"
"C","g"
"C","a"
"C","t"
"C","t"
"C","g"
"C","c"
"C","g"
"C","a"
"C","a"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","g"
"C","a"
"C","c"
"C","t"
"C","g"
"C","c"
"C","c"
"C","c"
"C","g"
"C","c"
"C","g"
"C","g"
"C","c"
"C","t"
"C","t"
"C","g"
"C","c"
"C","g"
"C","c"
"C","a"
"C","c"
"C","c"
"C","g"
"C","t"
"C","t"
"C","g"
"C","g"
"C","t"
"C","t"
"C","a"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","t"
"C","t"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","c"
"C","g"
"C","a"
"C","a"
"C","c"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","a"
"C","t"
"C","a"
"C","g"
"C","t"
"C","g"
"C","a"
"C","g"
"C","t"
"C","c"
"C","g"
"C","a"
"C","c"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","a"
"C","t"
"C","g"
"C","g"
"C","g"
"C","t"
"C","t"
"C","g"
"C","t"
"C","g"
"C","t"
"C","g"
"C","c"
"C","t"
"C","c"
"C","g"
"C","t"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","t"
"C","g"
"C","g"
"C","g"
"C","c"
"C","c"
"C","g"
"C","g"
"C","t"
"C","c"
"C","g"
"C","a"
"C","g"
"C","g"
"C","a"
"C","c"
"C","g"
"C","c"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","t"
"C","g"
"C","c"
"C","a"
"C","c"
"C","g"
"C","a"
"C","t"
"C","c"
"C","g"
"C","t"
"C","g"
"C","t"
"C","g"
"C","c"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","a"
"C","c"
"C","g"
"C","g"
"C","t"
"C","t"
"C","t"
"C","g"
"C","g"
"C","t"
"C","t"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","t"
"C","c"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","c"
"C","t"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","c"
"C","c"
"C","g"
"C","t"
"C","g"
"C","a"
"C","g"
"C","g"
"C","t"
"C","t"
"C","g"
"C","t"
"C","t"
"C","t"
"C","g"
"C","g"
"C","c"
"C","t"
"C","g"
"C","t"
"C","g"
"C","c"
"C","t"
"C","t"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","t"
"C","g"
"C","g"
"C","t"
"C","t"
"C","c"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","c"
"C","c"
"C","t"
"C","a"
"C","t"
"C","a"
"C","c"
"C","a"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","c"
"C","g"
"C","g"
"C","g"
"C","t"
"C","c"
"C","a"
"C","a"
"C","c"
"C","g"
"C","c"
"C","a"
"C","c"
"C","c"
"C","g"
"C","g"
"C","t"
"C","c"
"C","t"
"C","t"
"C","c"
"C","t"
"C","g"
"C","t"
"C","g"
"C","c"
"C","c"
"C","t"
"C","t"
"C","t"
"C","g"
"C","c"
"C","a"
"C","c"
"C","g"
"C","a"
"C","t"
"C","a"
"C","t"
"C","g"
"C","g"
"C","a"
"C","c"
"C","g"
"C","a"
"C","t"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","c"
"C","a"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","a"
"C","g"
"C","a"
"C","g"
"C","c"
"C","g"
"C","g"
"C","c"
"C","c"
"C","c"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","g"
"C","a"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","t"
"C","c"
"C","g"
"C","g"
"C","g"
"C","t"
"C","c"
"C","g"
"C","c"
"C","c"
"C","c"
"C","g"
"C","t"
"C","g"
"C","t"
"C","g"
"C","c"
"C","g"
"C","t"
"C","g"
"C","t"
"C","c"
"C","t"
"C","t"
"C","t"
"C","g"
"C","c"
"C","g"
"C","t"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","c"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","a"
"C","c"
"C","g"
"C","c"
"C","g"
"C","t"
"C","t"
"C","g"
"C","t"
"C","c"
"C","g"
"C","g"
"C","t"
"C","g"
"C","t"
"C","g"
"C","c"
"C","c"
"C","a"
"C","g"
"C","t"
"C","c"
"C","g"
"C","g"
"C","c"
"C","c"
"C","t"
"C","c"
"C","g"
"C","t"
"C","c"
"C","g"
"C","g"
"C","g"
"C","a"
"C","c"
"C","t"
"C","c"
"C","c"
"C","a"
"C","g"
"C","c"
"C","g"
"C","t"
"C","t"
"C","t"
"C","t"
"C","a"
"C","c"
"C","g"
"C","a"
"C","t"
"C","t"
"C","g"
"C","a"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","c"
"C","t"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","c"
"C","t"
"C","g"
"C","c"
"C","g"
"C","g"
"C","a"
"C","g"
"C","g"
"C","a"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","c"
"C","t"
"C","g"
"C","t"
"C","t"
"C","g"
"C","c"
"C","c"
"C","t"
"C","g"
"C","a"
"C","g"
"C","t"
"C","t"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","c"
"C","t"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","a"
"C","g"
"C","g"
"C","c"
"C","g"
"C","c"
"C","t"
"C","t"
"C","t"
"C","g"
"C","t"
"C","a"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","c"
"C","c"
"C","g"
"C","g"
"C","t"
"C","t"
"C","c"
"C","g"
"C","g"
"C","a"
"C","g"
"C","g"
"C","t"
"C","t"
"C","a"
"C","t"
"C","a"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","t"
"C","c"
"C","g"
"C","t"
"C","g"
"C","a"
"C","c"
"C","a"
"C","g"
"C","t"
"C","c"
"C","t"
"C","g"
"C","t"
"C","a"
"C","a"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","t"
"C","a"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","t"
"C","c"
"C","g"
"C","c"
"C","g"
"C","t"
"C","c"
"C","t"
"C","g"
"C","t"
"C","t"
"C","g"
"C","g"
"C","c"
"C","t"
"C","t"
"C","g"
"C","t"
"C","t"
"C","a"
"C","g"
"C","t"
"C","g"
"C","g"
"C","g"
"C","c"
"C","c"
"C","t"
"C","g"
"C","c"
"C","a"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","c"
"C","t"
"C","a"
"C","g"
"C","g"
"C","g"
"C","t"
"C","a"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","t"
"C","c"
"C","t"
"C","g"
"C","t"
"C","t"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","a"
"C","g"
"C","g"
"C","c"
"C","t"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","g"
"C","c"
"C","t"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","a"
"C","t"
"C","t"
"C","a"
"C","g"
"C","g"
"C","t"
"C","t"
"C","g"
"C","g"
"C","g"
"C","t"
"C","c"
"C","g"
"C","g"
"C","t"
"C","g"
"C","t"
"C","g"
"C","t"
"C","g"
"C","c"
"C","a"
"C","c"
"C","g"
"C","g"
"C","c"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","t"
"C","g"
"C","t"
"C","g"
"C","t"
"C","c"
"C","g"
"C","c"
"C","t"
"C","t"
"C","g"
"C","g"
"C","c"
"C","g"
"C","a"
"C","t"
"C","c"
"C","c"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","t"
"C","t"
"C","g"
"C","t"
"C","t"
"C","t"
"C","g"
"C","g"
"C","t"
"C","t"
"C","c"
"C","a"
"C","c"
"C","c"
"C","c"
"C","g"
"C","c"
"C","a"
"C","g"
"C","t"
"C","a"
"C","c"
"C","a"
"C","c"
"C","g"
"C","c"
"C","g"
"C","t"
"C","c"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","t"
"C","g"
"C","t"
"C","t"
"C","a"
"C","g"
"C","g"
"C","c"
"C","g"
"C","t"
"C","g"
"C","a"
"C","g"
"C","a"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","c"
"C","t"
"C","g"
"C","a"
"C","c"
"C","g"
"C","g"
"C","t"
"C","g"
"C","c"
"C","g"
"C","g"
"C","c"
"C","c"
"C","t"
"C","g"
"C","c"
"C","t"
"C","t"
"C","c"
"C","c"
"C","g"
"C","g"
"C","t"
"C","a"
"C","a"
"C","a"
"C","t"
"C","t"
"C","g"
"C","c"
"C","c"
"C","c"
"C","t"
"C","g"
"C","a"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","t"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","a"
"C","g"
"C","g"
"C","g"
"C","t"
"C","t"
"C","t"
"C","t"
"C","c"
"C","g"
"C","c"
"C","g"
"C","g"
"C","c"
"C","g"
"C","a"
"C","g"
"C","a"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","c"
"C","a"
"C","t"
"C","g"
"C","g"
"C","a"
"C","g"
"C","t"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","c"
"C","a"
"C","g"
"C","t"
"C","c"
"C","g"
"C","a"
"C","g"
"C","t"
"C","c"
"C","t"
"C","g"
"C","g"
"C","c"
"C","g"
"C","t"
"C","c"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","c"
"C","g"
"C","t"
"C","c"
"C","g"
"C","g"
"C","a"
"C","t"
"C","g"
"C","g"
"C","t"
"C","t"
"C","a"
"C","c"
"C","t"
"C","c"
"C","g"
"C","g"
"C","a"
"C","t"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","c"
"C","c"
"C","g"
"C","c"
"C","t"
"C","c"
"C","t"
"C","g"
"C","c"
"C","a"
"C","c"
"C","c"
"C","t"
"C","c"
"C","g"
"C","g"
"C","a"
"C","t"
"C","g"
"C","g"
"C","g"
"C","a"
"C","t"
"C","t"
"C","g"
"C","t"
"C","c"
"C","t"
"C","g"
"C","g"
"C","t"
"C","t"
"C","g"
"C","t"
"C","c"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","a"
"C","g"
"C","g"
"C","g"
"C","a"
"C","a"
"C","g"
"C","t"
"C","g"
"C","g"
"C","g"
"C","t"
"C","c"
"C","c"
"C","c"
"C","t"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","t"
"C","g"
"C","t"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","c"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","c"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","t"
"C","c"
"C","c"
"C","t"
"C","g"
"C","c"
"C","t"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","c"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","c"
"C","c"
"C","c"
"C","t"
"C","c"
"C","g"
"C","t"
"C","t"
"C","g"
"C","t"
"C","g"
"C","t"
"C","g"
"C","c"
"C","g"
"C","g"
"C","c"
"C","g"
"C","c"
"C","g"
"C","c"
"C","t"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","a"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","c"
"C","c"
"C","a"
"C","g"
"C","c"
"C","t"
"C","t"
"C","c"
"C","g"
"C","t"
"C","c"
"C","t"
"C","g"
"C","t"
"C","g"
"C","t"
"C","t"
"C","g"
"C","c"
"C","g"
"C","c"
"C","c"
"C","t"
"C","g"
"C","c"
"C","g"
"C","t"
"C","c"
"C","a"
"C","g"
"C","g"
"C","g"
"C","t"
"C","t"
"C","a"
"C","c"
"C","c"
"C","g"
"C","a"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","a"
"C","g"
"C","t"
"C","g"
"C","a"
"C","c"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","t"
"C","c"
"C","g"
"C","c"
"C","g"
"C","g"
"C","c"
"C","a"
"C","c"
"C","g"
"C","g"
"C","g"
"C","c"
"C","t"
"C","a"
"C","g"
"C","g"
"C","g"
"C","c"
"C","t"
"C","a"
"C","t"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","c"
"C","a"
"C","t"
"C","t"
"C","t"
"C","t"
"C","t"
"C","t"
"C","g"
"C","g"
"C","a"
"C","g"
"C","g"
"C","t"
"C","g"
"C","c"
"C","c"
"C","g"
"C","g"
"C","a"
"C","g"
"C","g"
"C","t"
"C","c"
"C","c"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","a"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","c"
"C","g"
"C","g"
"C","c"
"C","c"
"C","g"
"C","c"
"C","c"
"C","t"
"C","g"
"C","a"
"C","g"
"C","g"
"C","t"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","c"
"C","a"
"C","t"
"C","g"
"C","c"
"C","t"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","a"
"C","c"
"C","g"
"C","g"
"C","c"
"C","c"
"C","c"
"C","g"
"C","c"
"C","t"
"C","c"
"C","c"
"C","g"
"C","a"
"C","c"
"C","c"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","a"
"C","t"
"C","g"
"C","g"
"C","g"
"C","t"
"C","c"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","c"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","c"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","c"
"C","t"
"C","g"
"C","a"
"C","g"
"C","g"
"C","t"
"C","g"
"C","a"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","t"
"C","g"
"C","t"
"C","t"
"C","g"
"C","a"
"C","g"
"C","t"
"C","t"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","t"
"C","t"
"C","g"
"C","a"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","t"
"C","t"
"C","t"
"C","g"
"C","a"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","t"
"C","c"
"C","t"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","g"
"C","c"
"C","a"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","g"
"C","t"
"C","c"
"C","g"
"C","a"
"C","c"
"C","g"
"C","a"
"C","c"
"C","c"
"C","a"
"C","g"
"C","t"
"C","g"
"C","g"
"C","g"
"C","c"
"C","a"
"C","t"
"C","g"
"C","g"
"C","t"
"C","t"
"C","g"
"C","c"
"C","t"
"C","t"
"C","a"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","t"
"C","t"
"C","g"
"C","g"
"C","t"
"C","c"
"C","t"
"C","c"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","a"
"C","a"
"C","t"
"C","g"
"C","c"
"C","a"
"C","t"
"C","t"
"C","t"
"C","t"
"C","g"
"C","g"
"C","g"
"C","t"
"C","a"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","c"
"C","c"
"C","g"
"C","g"
"C","t"
"C","g"
"C","t"
"C","g"
"C","t"
"C","g"
"C","g"
"C","g"
"C","a"
"C","t"
"C","c"
"C","t"
"C","t"
"C","c"
"C","c"
"C","g"
"C","c"
"C","c"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","g"
"C","t"
"C","a"
"C","g"
"C","t"
"C","t"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","a"
"C","g"
"C","c"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","c"
"C","c"
"C","g"
"C","t"
"C","g"
"C","t"
"C","g"
"C","t"
"C","c"
"C","a"
"C","t"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","c"
"C","c"
"C","a"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","a"
"C","g"
"C","c"
"C","g"
"C","g"
"C","t"
"C","t"
"C","t"
"C","c"
"C","c"
"C","g"
"C","g"
"C","a"
"C","g"
"C","g"
"C","g"
"C","t"
"C","c"
"C","t"
"C","a"
"C","t"
"C","g"
"C","c"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","c"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","t"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","c"
"C","c"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","c"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","c"
"C","g"
"C","c"
"C","t"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","a"
"C","c"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","t"
"C","a"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","a"
"C","t"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","c"
"C","g"
"C","c"
"C","t"
"C","c"
"C","g"
"C","t"
"C","g"
"C","c"
"C","t"
"C","g"
"C","g"
"C","c"
"C","a"
"C","g"
"C","g"
"C","c"
"C","a"
"C","g"
"C","c"
"C","g"
"C","g"
"C","c"
"C","g"
"C","c"
"C","g"
"C","t"
"C","c"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","t"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","g"
"C","t"
"C","a"
"C","t"
"C","g"
"C","t"
"C","t"
"C","g"
"C","g"
"C","c"
"C","t"
"C","g"
"C","c"
"C","a"
"C","c"
"C","g"
"C","g"
"C","c"
"C","g"
"C","c"
"C","g"
"C","c"
"C","g"
"C","c"
"C","a"
"C","t"
"C","t"
"C","g"
"C","g"
"C","c"
"C","g"
"C","t"
"C","t"
"C","g"
"C","a"
"C","g"
"C","g"
"C","c"
"C","c"
"C","g"
"C","g"
"C","g"
"C","t"
"C","t"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","t"
"C","a"
"C","g"
"C","g"
"C","t"
"C","c"
"C","t"
"C","t"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","t"
"C","g"
"C","a"
"C","t"
"C","g"
"C","g"
"C","c"
"C","c"
"C","a"
"C","g"
"C","t"
"C","g"
"C","g"
"C","a"
"C","t"
"C","a"
"C","a"
"C","c"
"C","g"
"C","t"
"C","c"
"C","g"
"C","a"
"C","g"
"C","a"
"C","t"
"C","t"
"C","g"
"C","g"
"C","c"
"C","t"
"C","g"
"C","a"
"C","g"
"C","g"
"C","g"
"C","g"
"C","a"
"C","g"
"C","g"
"C","t"
"C","t"
"C","c"
"C","g"
"C","g"
"C","c"
"C","t"
"C","g"
"C","g"
"C","t"
"C","t"
"C","g"
"C","g"
"C","c"
"C","g"
"C","t"
"C","t"
"C","a"
"C","g"
"C","g"
"C","a"
"C","a"
"C","g"
"C","t"
"C","t"
"C","g"
"C","a"
"C","g"
"C","g"
"C","t"
"C","t"
"C","g"
"C","g"
"C","c"
"C","a"
"C","g"
"C","t"
"C","g"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","c"
"C","t"
"C","c"
"C","g"
"C","g"
"C","t"
"C","g"
"C","t"
"C","a"
"C","g"
"C","a"
"C","g"
"C","t"
"C","t"
"C","c"
"C","c"
"C","g"
"C","c"
"C","g"
"C","c"
"C","g"
"C","g"
"C","t"
"C","g"
"C","g"
"C","t"
"C","c"
"C","a"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","t"
"C","c"
"C","c"
"C","g"
"C","t"
"C","g"
"C","t"
"C","g"
"C","c"
"C","g"
"C","t"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","c"
"C","t"
"C","g"
"C","c"
"C","g"
"C","t"
"C","t"
"C","c"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","g"
"C","t"
"C","t"
"C","t"
"C","c"
"C","t"
"C","a"
"C","g"
"C","t"
"C","c"
"C","g"
"C","t"
"C","c"
"C","c"
"C","g"
"C","g"
"C","c"
"C","g"
"C","g"
"C","c"
"C","t"
"C","g"
"C","a"
"C","a"
"C","c"
"C","c"
"C","c"
"C","t"
"C","g"
"C","g"
"C","g"
"C","g"
"C","c"
"C","t"
"C","g"
"C","g"
